Time,Open,High,Low,Close,Volume
02.06.2013 02:00:00.000,1.29944,1.31074,1.29556,1.30704,214226.5156
03.06.2013 02:00:00.000,1.30702,1.31012,1.30418,1.30715,240402.2500
04.06.2013 02:00:00.000,1.30714,1.31142,1.30529,1.30865,278373.4688
05.06.2013 02:00:00.000,1.30864,1.33054,1.30749,1.32423,319307.7500
06.06.2013 02:00:00.000,1.32423,1.32846,1.31918,1.32187,297733.0000
07.06.2013 02:00:00.000,1.32187,1.32187,1.32187,1.32187,0.0000
08.06.2013 02:00:00.000,1.31906,1.32149,1.31851,1.32024,10306.9199
09.06.2013 02:00:00.000,1.32024,1.32689,1.31775,1.32528,237372.0469
10.06.2013 02:00:00.000,1.32528,1.33173,1.32320,1.33121,319573.1250
11.06.2013 02:00:00.000,1.33122,1.33591,1.32655,1.33438,286381.0313
12.06.2013 02:00:00.000,1.33438,1.33902,1.32785,1.33586,313418.6875
13.06.2013 02:00:00.000,1.33587,1.33728,1.32948,1.33466,227949.8438
14.06.2013 02:00:00.000,1.33466,1.33466,1.33466,1.33466,0.0000
15.06.2013 02:00:00.000,1.33476,1.33572,1.33431,1.33546,5692.9302
16.06.2013 02:00:00.000,1.33545,1.33815,1.33184,1.33619,169698.6406
17.06.2013 02:00:00.000,1.33620,1.34155,1.33255,1.33929,217458.3125
18.06.2013 02:00:00.000,1.33929,1.34155,1.32620,1.32817,186733.1719
19.06.2013 02:00:00.000,1.32817,1.33002,1.31612,1.32276,260295.1250
20.06.2013 02:00:00.000,1.32277,1.32541,1.30985,1.31215,190081.7813
21.06.2013 02:00:00.000,1.31215,1.31215,1.31215,1.31215,0.0000
22.06.2013 02:00:00.000,1.30912,1.31141,1.30888,1.31066,6891.7598
23.06.2013 02:00:00.000,1.31066,1.31438,1.30590,1.31350,198955.0625
24.06.2013 02:00:00.000,1.31350,1.31506,1.30650,1.30753,193152.1250
25.06.2013 02:00:00.000,1.30755,1.30870,1.29849,1.30162,189861.0625
26.06.2013 02:00:00.000,1.30162,1.30546,1.30000,1.30361,187477.4063
27.06.2013 02:00:00.000,1.30363,1.31029,1.29913,1.30096,184072.0938
28.06.2013 02:00:00.000,1.30096,1.30096,1.30096,1.30096,0.0000
